payment_type,order_date,total_payment_value,payment_count,avg_payment_value
credit_card,2016-09-04,136.23,1,136.23
credit_card,2016-09-05,75.06,1,75.06
credit_card,2016-09-13,40.95,1,40.95
credit_card,2016-10-02,109.34,1,109.34
boleto,2016-10-03,138.28,3,46.093333333333334
credit_card,2016-10-03,456.86,5,91.372000000000014
boleto,2016-10-04,1758.5099999999998,11,159.86454545454546
credit_card,2016-10-04,9929.1099999999988,50,198.58220000000006
debit_card,2016-10-04,65.5,1,65.5
voucher,2016-10-04,161.53,8,20.19125
boleto,2016-10-05,2403.17,13,184.85923076923081
credit_card,2016-10-05,7670.5,34,225.60294117647064
voucher,2016-10-05,138.55,4,34.6375
boleto,2016-10-06,1108.79,4,277.1975
credit_card,2016-10-06,8113.5899999999992,46,176.38239130434781
debit_card,2016-10-06,176.23,1,176.23
boleto,2016-10-07,2222.12,12,185.17666666666668
credit_card,2016-10-07,5783.0700000000015,34,170.09029411764706
voucher,2016-10-07,250.0,1,250.0
boleto,2016-10-08,822.97,6,137.16166666666666
credit_card,2016-10-08,8793.16,36,244.25444444444446
voucher,2016-10-08,100.0,1,100.0
boleto,2016-10-09,168.38,2,84.19
credit_card,2016-10-09,3878.1100000000006,23,168.61347826086956
voucher,2016-10-09,105.62,3,35.206666666666671
boleto,2016-10-10,1056.84,12,88.07
credit_card,2016-10-10,3556.88,25,142.2752
voucher,2016-10-10,61.38,5,12.276
voucher,2016-10-22,61.99,1,61.99
credit_card,2016-12-23,19.62,1,19.62
boleto,2017-01-05,571.31000000000006,29,19.700344827586203
credit_card,2017-01-05,135.96,3,45.320000000000007
boleto,2017-01-06,21.45,1,21.45
credit_card,2017-01-06,316.83000000000004,3,105.61
voucher,2017-01-06,650.0,4,162.5
credit_card,2017-01-07,1447.99,4,361.9975
boleto,2017-01-08,25.1,1,25.1
credit_card,2017-01-08,784.53,5,156.906
boleto,2017-01-09,167.99,2,83.995
credit_card,2017-01-09,606.52,3,202.17333333333335
boleto,2017-01-10,152.75,2,76.375
credit_card,2017-01-10,1418.42,4,354.605
boleto,2017-01-11,452.5,2,226.25000000000003
credit_card,2017-01-11,2609.83,10,260.983
credit_card,2017-01-12,2426.82,11,220.62
debit_card,2017-01-12,54.42,1,54.42
voucher,2017-01-12,21.45,1,21.45
boleto,2017-01-13,425.07,1,425.07
credit_card,2017-01-13,2478.9,11,225.35454545454544
credit_card,2017-01-14,1507.36,18,83.742222222222225
boleto,2017-01-15,771.68,5,154.336
credit_card,2017-01-15,1779.66,9,197.73999999999998
boleto,2017-01-16,223.62,2,111.81
credit_card,2017-01-16,3488.6199999999994,17,205.21294117647059
boleto,2017-01-17,1242.58,8,155.3225
credit_card,2017-01-17,2456.58,23,106.80782608695652
debit_card,2017-01-17,50.31,1,50.31
